address1	address2	zipCode	city	country	geoCoords
8 Rue Arago			Villeurbanne		45.75697610,4.88385780
5 Rue Léon Fabre			Villeurbanne		45.77902970,4.87336720
12 Rue de la Prevoyance			Villeurbanne		45.77213430,4.88753270
4 Rue Phelypeaux			Villeurbanne		45.77741770,4.86447750
8 Rue Wilhelmine			Villeurbanne		45.78181650,4.88124090
6 Rue Camille Koechlin			Villeurbanne		45.76288930,4.88778260
9 Impasse Guillet			Villeurbanne		45.78318470,4.88655430
20 Rue Decomberousse			Villeurbanne		45.76072750,4.92008090
1 Rue d'Alsace			Villeurbanne		45.77159430,4.87008540
4 Rue de la Jeunesse			Villeurbanne		45.77404130,4.89742650
7 Rue de la Cloche			Villeurbanne		45.78821340,4.88554910
4 Rue Marcel Doret			Villeurbanne		45.75475310,4.91194230
16 Rue Jules Kumer			Villeurbanne		45.76656800,4.89058110
4 Rue du Luxembourg			Villeurbanne		45.75069030,4.91467480
1 Rue Denis Papin			Villeurbanne		45.77045970,4.89165330
8 Rue Leo Lagrange			Villeurbanne		45.78463370,4.90336550
18 Rue Baudelaire			Villeurbanne		45.76268760,4.87943030
6 Rue du Perou			Villeurbanne		45.77699640,4.87789560
3 Rue Leo Lagrange			Villeurbanne		45.78496530,4.90288860
3 Rue des 2 Frères			Villeurbanne		45.75620040,4.88676230
4 Avenue de la Rize			Villeurbanne		45.76927350,4.90963410
1 Avenue Jean Capelle			Villeurbanne		45.78159890,4.87394050
16 Rue du Docteur Rollet			Villeurbanne		45.76781760,4.88427300
15 Impasse Comby			Villeurbanne		45.77309960,4.88608640
1 Rue Alexandre Dumas			Villeurbanne		45.77625990,4.88807040
18 Rue du Professeur Calmette			Villeurbanne		45.77242000,4.89744180
16 Allée Henri Georges Clouzot			Villeurbanne		45.77628600,4.86132630
10 Rue Eugene Fourniere			Villeurbanne		45.75776340,4.88684350
4 Rue Jean Novel			Villeurbanne		45.77196880,4.86034080
5 Impasse Bayet			Villeurbanne		45.76170840,4.89870600
14 Rue du Luizet			Villeurbanne		45.78307470,4.88462130
1 Place du Commandant Rivière			Villeurbanne		45.77635800,4.86188020
9 Rue Burais			Villeurbanne		45.75936890,4.89178250
14 Rue de la Sainte Famille			Villeurbanne		45.77383460,4.88015610
6 Rue Lafontaine			Villeurbanne		45.76129090,4.87577860
15 Avenue Roberto Rossellini			Villeurbanne		45.77669120,4.86254020
19 Avenue Paul Kruger			Villeurbanne		45.75580320,4.89369830
15 Place de Croix Luizet			Villeurbanne		45.78059220,4.88294360
8 Avenue Jean Capelle			Villeurbanne		45.78141550,4.87310390
11 Rue Mansard			Villeurbanne		45.76890410,4.87307910
5 Avenue Henri Barbusse			Villeurbanne		45.76927970,4.87944200
4 Rue Yvonne Chanu			Villeurbanne		45.75378610,4.90841140
5 Rue Jean Baptiste Durand			Villeurbanne		45.75493540,4.90416760
3 Rue Octavie			Villeurbanne		45.78158060,4.88774570
17 Rue Pierre Baratin			Villeurbanne		45.76478010,4.90132430
5 Impasse Martin			Villeurbanne		45.76280190,4.89467870
10 Impasse Bayet			Villeurbanne		45.76149260,4.89868540
16 Rue Sylvestre			Villeurbanne		45.76895780,4.86621220
17 Rue du Luxembourg			Villeurbanne		45.74949520,4.91441220
3 Rue de la Boube			Villeurbanne		45.78127100,4.89223560
6 Avenue Salvador Allende			Villeurbanne		45.77593740,4.86276860
5 Rue Georges Courteline			Villeurbanne		45.77819940,4.87680760
4 Rue du 14 Juillet 1789			Villeurbanne		45.76261740,4.87180010
14 Rue du 4 Septembre 1797			Villeurbanne		45.76166750,4.87140430
8 Impasse des Moineaux			Villeurbanne		45.78232030,4.89774170
20 Rue des Peupliers			Villeurbanne		45.76046340,4.88807860
10 Rue Baudelaire			Villeurbanne		45.76350070,4.87906230
13 Rue George Sand			Villeurbanne		45.75490330,4.88621650
16 Boulevard Niels Bohr			Villeurbanne		45.78521980,4.87233920
7 Rue Ernest Renan			Villeurbanne		45.76584900,4.90237000
7 Rue Pelisson			Villeurbanne		45.77377590,4.88535770
8 Rue Charles Montaland			Villeurbanne		45.76417840,4.88164090
9 Boulevard de la Bataille de Stalingrad			Villeurbanne		45.78323620,4.85998800
9 Rue Branly			Villeurbanne		45.76950390,4.88146380
1 Rue Eugene Fourniere			Villeurbanne		45.75845220,4.88702570
4 Allée Henri Georges Clouzot			Villeurbanne		45.77599750,4.86126960
2 Allée Louis Pergaud			Villeurbanne		45.75279400,4.91480400
15 Rue Berthelot			Villeurbanne		45.75870430,4.89729540
18 Rue Louis Teillon			Villeurbanne		45.75071840,4.91601870
17 Rue du Dr Pierre Fleury Papillon			Villeurbanne		45.76347420,4.88335940
12 Rue Léon Piat			Villeurbanne		45.77320930,4.90284500
3 Allée Louis Pergaud			Villeurbanne		45.75280790,4.91435810
14 Rue Lafontaine			Villeurbanne		45.76128010,4.87581590
8 Avenue Roger Salengro			Villeurbanne		45.77440480,4.86871180
18 Impasse Chevreul			Villeurbanne		45.76461060,4.90000810
6 Rue des Muriers			Villeurbanne		45.76251340,4.88121220
2 Rue Leo Lagrange			Villeurbanne		45.78479550,4.90260030
16 Rue René Prolongee			Villeurbanne		45.77850580,4.89348610
2 Rue Frédéric Fays			Villeurbanne		45.76473690,4.90266430
18 Rue Paret			Villeurbanne		45.77417030,4.88657040
11 Rue Bernard Lecache			Villeurbanne		45.76488430,4.91104220
15 Rue Frédéric Fays			Villeurbanne		45.76381890,4.90465160
12 Rue Bonnet			Villeurbanne		45.77725930,4.86959370
8 Avenue Piaton			Villeurbanne		45.77400290,4.86657960
18 Rue du Cimetière			Villeurbanne		45.76494840,4.91146000
5 Rue Max Linder			Villeurbanne		
20 Rue Montgolfier			Villeurbanne		45.77417150,4.89011050
18 Rue Charles Montaland			Villeurbanne		45.76356250,4.88175670
9 Rue Jean Voillot			Villeurbanne		45.75515420,4.91008860
