address1	address2	zipCode	city	country	geoCoords
82 Rue Masséna		69006	Lyon	France	
7 place de l'hôtel de ville Charles Ottina		69800	Saint Priest	France	
2 Rue des Forces		69002	Lyon	France	
12 Rue Royale		69001	Lyon	France	
15 Rue du Chariot d'Or		69004	Lyon	France	
44 Boulevard des Brotteaux		69006	Lyon	France	
125 Rue de Sèze		69006	Lyon	France	
33 Quai Charles de Gaulle		69006	Lyon	France	
25 Montée Saint-Barthélémy		69005	Lyon	France	
173 Rue Cuvier		69006	Lyon	France	
33 Rue Malesherbes		69006	Lyon	France	
95 Rue Bossuet		69006	Lyon	France	
22 Rue de la Platière		69000	Lyon	France	
88 Rue Vendôme		69001	Lyon	France	
17 Rue d'Algérie		69001	Lyon	France	
