available	workStart	workEnd	honorific	firstName	lastName	birthdate	phoneNumber	email
false	10:25:23	13:53:44	Mr	Maurita	Strathern	1981-03-18	+420 (575) 833-4732	mstrathern0@dyndns.org
true	20:59:35	11:35:15	Honorable	Madelene	Fellman	1966-04-15	+49 (152) 304-5287	mfellman1@sciencedirect.com
false	11:39:53	23:54:57	Honorable	Dinny	Barg	1995-01-28	+62 (420) 611-0685	dbarg2@woothemes.com
true	00:25:26	22:11:59	Mrs	Klaus	MacNamara	1973-03-27	+86 (859) 415-6020	kmacnamara3@usatoday.com
true	11:50:14	14:30:11	Mr	Henrik	Benny	1984-07-05	+380 (591) 308-5491	hbenny4@shareasale.com
true	06:55:27	22:31:47	Honorable	Carling	Weadick	1999-03-26	+420 (457) 158-5024	cweadick5@wikipedia.org
false	01:07:31	07:45:00	Mrs	Nikkie	Deex	1972-12-09	+86 (507) 639-7419	ndeex6@theguardian.com
true	22:45:09	12:35:07	Mr	Conn	Beebis	1975-03-23	+502 (144) 440-4326	cbeebis7@google.com.au
false	02:30:51	21:30:30	Rev	Fallon	Chrystal	1980-11-01	+57 (183) 893-9242	fchrystal8@microsoft.com
false	04:21:56	20:53:24	Ms	Winn	Massen	1987-06-08	+359 (421) 138-1389	wmassen9@1und1.de
false	20:20:17	02:38:21	Dr	Rafi	Clarage	1958-11-09	+504 (732) 445-3425	rclaragea@dot.gov
true	11:57:22	23:23:57	Rev	Annabella	Pettie	1963-05-31	+86 (306) 928-6932	apettieb@netscape.com
true	07:03:24	18:54:33	Mr	Obed	Selman	1976-06-08	+52 (230) 378-8344	oselmanc@woothemes.com
true	05:23:24	17:56:22	Mrs	Burnaby	Capps	1962-10-19	+60 (277) 559-2919	bcappsd@ebay.co.uk
true	02:00:25	23:59:04	Rev	Nataline	Josskowitz	1978-02-24	+86 (493) 222-1459	njosskowitze@tiny.cc
