address1	address2	zipCode	city	country	geoCoords
82 Rue Masséna		69006	Lyon	France	45.76675830,4.85462720
7 place de l'hôtel de ville Charles Ottina		69800	Saint Priest	France	45.69466280,4.93757100
2 Rue des Forces		69002	Lyon	France	45.76441970,4.83470550
12 Rue Royale		69001	Lyon	France	45.77139270,4.83711330
15 Rue du Chariot d'Or		69004	Lyon	France	45.77769380,4.83381930
44 Boulevard des Brotteaux		69006	Lyon	France	45.76621300,4.85667710
125 Rue de Sèze		69006	Lyon	France	45.76912730,4.85557640
33 Quai Charles de Gaulle		69006	Lyon	France	45.78547050,4.85677620
25 Montée Saint-Barthélémy		69005	Lyon	France	45.76296720,4.82571270
173 Rue Cuvier		69006	Lyon	France	45.76798340,4.85635120
33 Rue Malesherbes		69006	Lyon	France	45.77036240,4.84266570
95 Rue Bossuet		69006	Lyon	France	45.76838360,4.85505380
22 Rue de la Platière		69000	Lyon	France	45.76604290,4.83256210
88 Rue Vendôme		69001	Lyon	France	45.76810360,4.84494870
17 Rue d'Algérie		69001	Lyon	France	45.76758650,4.83171690
